"main.id","hpq_aquani.id","aquani_line","aquanitype","aquanitype_o","aquani_vol"
"274733","0","6","6","kanuping","50"
"274733","1","7","6","Barungoy","400"
"274734","0","8","6","tulingan","128"
"274734","1","9","6","galunggong","100"
"274738","0","8","6","kanuping","60"
"274738","1","9","6","bisugo","15"
"274738","2","10","6","talakitok","10"
"274738","3","11","6","pulahan","10"
"274738","4","12","6","langgit","10"
"274742","0","7","6","pulahan","360"
"274742","1","8","6","kanuping","360"
"274742","2","9","6","talakitok","360"
"274742","3","10","6","lapu-lapu","360"
"274742","4","11","6","arakya","360"
"274742","5","12","6","matangkanu","360"
"274742","6","13","6","Husuhos","360"
"274742","7","14","6","bikura","360"
"274742","8","15","6","gangat","360"
"274742","9","16","6","siga","360"
"274743","0","11","6","kanuping","336"
"274743","1","12","6","bisugo","336"
"274743","2","13","6","gangat","336"
"274743","3","14","6","pulahan","336"
"274743","4","15","6","talupak","336"
"274744","0","13","6","kanuping","300"
"274744","1","14","6","bisugo","300"
"274744","2","15","6","sigapo","300"
"274744","3","16","6","talakitok","300"
"274744","4","17","6","pulahan","200"
"274745","0","12","6","pulahan","288"
"274745","1","13","6","bisugo","1152"
"274745","2","14","6","kano","576"
"274750","0","8","6","barunggoy","900"
"274752","0","9","6","flyingfish","280"
"274755","0","7","6","lumahan","240"
"274757","0","8","6","barungoy","330"
"274759","0","9","6","gangat","290"
"274759","1","10","6","siga","380"
"274759","2","11","6","pulahan","300"
"274759","3","12","6","kanuping","250"
"274759","4","13","6","bisugo","330"
"274760","0","9","6","kanuping","300"
"274764","0","12","6","tulingan","100"
"274771","0","4","6","galunggong","270"
"274783","0","11","6","barungoy","720"
"274790","0","6","6","pugita ","250"
"276969","0","4","6","tilis","40"
"276993","0","12","6","haba","50"
"276998","0","8","6","haba","60"
"277095","0","21","6","Galunggong","60"
"277095","1","22","6","squid","30"
"277102","0","11","6","haba","60"
"277102","1","12","6","burao","70"
"277113","0","9","6","Galunggong","40"
"277117","0","7","6","tilis","30"
"277122","0","4","6","haba","50"
"277132","0","5","6","haba","40"
"277140","0","6","6","haba","60"
"277152","0","4","6","haba","60"
"277181","0","8","6","tilis","20"
"286431","0","14","6","haba","50"
"286431","1","15","6","bisugo","30"
"291149","0","7","6","haba","60"
"291150","0","3","6","haba","60"
"291151","0","14","6","tilis","30"
"291158","0","4","6","Samaral","40"
"291159","0","5","6","Samaral","40"
"291162","0","5","6","haba","30"
"291163","0","9","6","haba","30"
"291167","0","11","6","Samaral","35"
"291200","0","11","6","samaral","90"
"292322","0","11","6","iliw","300"
"292322","1","12","6","durado","100"
"292326","0","10","6","galunggong","50"
"292326","1","11","6","maryano","50"
"292328","0","35","6","bangus","100"
"292328","1","36","6","galunggong","250"
"292328","2","37","6","matambaka","100"
"292341","0","10","6","durado","500"
"292341","1","11","6","haba","300"
"292341","2","12","6","pusit","500"
"292352","0","5","6","iliw","250"
"292352","1","6","6","durado","300"
"292362","0","12","6","iliw","500"
"292364","0","10","6","iliw","500"
"292365","0","10","6","iliw","200"
"292365","1","11","6","durado","200"
"292370","0","9","6","iliw","200"
"292370","1","10","6","durado","300"
"292374","0","8","6","iliw","200"
"292374","1","9","6","haba","100"
"292380","0","5","6","haba","150"
"292380","1","6","6","pusit","300"
"292380","2","7","6","iliw","200"
"292382","0","8","6","iliw","500"
"292382","1","9","6","haba","150"
"292965","0","5","3","","30"
"292965","1","6","4","","60"
"292965","2","7","5","","70"
"293426","0","9","6","yellowpin","200"
"293433","0","12","6","talakitok","260"
"293434","0","13","6","flying fish","500"
"293447","0","5","6","talakitok","200"
"299312","0","18","","","0"
"307981","0","3","6","bisugo","15"
"307981","1","4","6","galunggong","30"
"307982","0","9","6","pangaluan","30"
"307982","1","10","6","Maya maya","10"
"307982","2","11","6","bisugo","10"
"308001","0","9","6","pangaluan","20"
"308001","1","10","6","bisugo","30"
"308022","0","12","6","tulingan","50"
"308022","1","13","6","alumahan","50"
"310011","0","13","6","Buraw","100"
"310011","1","14","6","galunggong","100"
"310013","0","7","6","Buraw","200"
"311619","0","10","6","galunggong","30"
"311619","1","11","6","bisugo","20"
"311619","2","12","6","pangaluan","20"
"311670","0","7","6","bisugo","20"
"311670","1","8","6","galunggong","20"
"311950","0","6","6","haba","100"
"311976","0","7","6","tambakol","1000"
"311991","0","3","6","haba","50"
"312000","0","10","6","samaral","60"
"312010","0","19","6","husuhos","500"
"312010","1","20","6","haba","700"
"312017","0","8","6","talakitok","1000"
"312056","0","8","6","Haba","500"
"312070","0","4","6","gulyasan","1000"
"312072","0","10","6","gulyasan","1500"
"312073","0","5","6","gulyasan","1500"
"312074","0","6","6","haba","1000"
"312075","0","9","6","gulyasan","2000"
"312095","0","7","6","squid","500"
"312108","0","11","6","squid","1000"
"312111","0","7","6","buraw","2000"
"312111","1","8","6","squid","5000"
"312159","0","4","6","husuhos","3000"
"312176","0","9","6","gulyasan","1500"
"312185","0","5","6","tambakol","2000"
"312201","0","4","6","talakitok","200"
"314253","0","6","6","mariano","80"
"314259","0","8","6","galunggong","50"
"314260","0","8","6","Galunggong","70"
"314265","0","9","6","Galungong","70"
