"main.id","hpq_aquani.id","aquani_line","aquanitype","aquanitype_o","aquani_vol"
"122536","1","40","6","isdang bato","500"
"122537","0","41","6","suno","27"
"122537","1","75","6","isdang bato","700"
"122538","0","7","6","bisugo","470"
"122540","0","13","6","Bisugo","450"
"122541","0","8","6","suno","42"
"122541","1","25","6","isdang bato","250"
"122544","0","4","6","isdang bato","665"
"122545","0","7","6","suno","32"
"122545","1","22","6","isdang bato","560"
"122566","0","15","6","Bisogo","75"
"122566","1","16","6","Ngirit ngirit","70"
"122569","0","11","6","Bisogo","50"
"122569","1","12","6","Ngirit ngirit","50"
"122570","0","5","6","Bisogo","100"
"122570","1","6","6","Ngirit ngirit","100"
"122570","2","7","6","Calase","30"
"122598","0","14","6","Bisogo","300"
"122598","1","15","6","Ngirit ngirit","200"
"123153","0","7","6","Bisogo","15"
"123153","1","8","6","Ngirit ngirit","25"
"123157","0","24","6","Sono","24"
"123159","0","61","6","Sono","10"
"123159","1","62","6","Bulang- bulang","80"
"123160","0","20","6","Sono","10"
"123160","1","21","6","Bulang- bulang","100"
"123161","0","52","6","Sono","20"
"123162","0","33","6","Talakitok","125"
"123162","1","59","6","iba pa","75"
"123163","0","44","6","Sono","27"
"123168","0","14","6","Sono","20"
"123169","0","19","6","Sono","12"
"123169","1","48","6","isdang bato","50"
"124119","0","28","6","Bisugo","117"
"124121","0","13","6","Bisugo","175"
"124122","0","72","6","Bisugo","112"
"124129","0","14","6","Bisugo","100"
"124129","1","15","6","Ngirit ngirit","100"
"124129","2","16","6","Lapu lapu","30"
"124135","0","10","6","Bisogo","50"
"124135","1","11","6","Ngirit ngirit","50"
"124135","2","12","6","Suno","30"
"124135","3","13","6","Lapu lapu","40"
"124208","0","12","6","Dangit","50"
"124208","1","13","6","Gusaw","50"
"124208","2","14","6","tarakitek","40"
"124208","3","15","6","Barangen","40"
"124208","4","16","6","Vampire","50"
"124217","0","269","6","Bisogo","20"
"124217","1","270","6","Ngirit ngirit","20"
"124217","2","271","6","Dangit","50"
"124217","3","272","6","Gusaw","50"
"124217","4","273","6","Vampire","30"
"124218","0","19","6","Bisogo","100"
"124218","1","20","6","Smile smile","100"
"124218","2","21","6","Lapu lapu","50"
"124218","3","22","6","Dangit","50"
"124218","4","23","6","Gusaw","50"
"124218","5","24","6","Vampire","30"
"124218","6","25","6","Suno","40"
"124219","0","6","6","Bisugo","112"
"124221","0","14","6","Bisugo","117"
"124222","0","8","6","Bisugo","225"
"124223","0","4","6","Bisugo","220"
"124224","0","11","6","Suno","24"
"124228","0","6","6","Bisugo","250"
"124230","0","3","6","Suno","21"
"133680","0","11","6","Bararawan","15"
"133680","1","12","6","Amurok","15"
"133681","0","16","6","Isdang bato","150"
"133681","1","17","6","Sarimburao","102"
"133683","0","4","6","Suno","50"
"133685","0","23","6","Suno","50"
"133687","0","7","6","Suno","35"
"133689","0","15","6","Suno","35"
"133690","0","180","6","Suno","30"
"133691","0","10","6","Suno","25"
"133692","0","12","6","Isdang bato","150"
"133694","0","15","6","Isdang bato","120"
"133696","0","12","6","Bararawan","50"
"133696","1","13","6","Isdang bato","50"
"133700","0","10","6","Suno","30"
"133701","0","11","6","Isdang bato","500"
"133704","0","16","6","Isdang Bato","20"
"133707","0","17","6","Bararawan","5"
"133707","1","18","6","Bated","7"
"133707","2","19","6","Busalog","5"
"133708","0","10","6","Isdang bato","100"
"133708","1","11","6","Bararawan","60"
"133709","0","16","6","Bararawan","100"
"133716","0","3","6","Isdang bato","20"
