"main.id","hpq_phiheal_indiv_mem.id","phiheal_indiv_mem_refno"
"2239147","0","2"
"2239724","0","1"
"2241560","0","1"
"2241560","1","2"
"2241560","2","3"
"2241560","3","4"
"2241560","4","5"
"2241560","5","6"
"2241930","0","2"
"2243671","0","6"
"2247137","0","1"
"2247145","0","1"
"2247151","0","1"
"2247151","1","2"
"2247153","0","4"
"2247235","0","1"
"2248455","0","2"
"2248527","0","1"
"2248527","1","2"
"2273882","0","4"
"2278830","0","1"
"2298931","0","1"
"2299198","0","1"
"2299198","1","2"
"2300656","0","3"
"2300658","0","11"
"2300671","0","2"
"2300836","0","1"
"2302854","0","2"
"2302857","0","1"
"2304743","0","1"
"2479219","0","13"
"2479219","1","14"
"2479219","2","15"
"2479219","3","16"
"11324","0","9"
"11324","1","9"
"11324","2","9"
"11324","3","9"
"11324","4","9"
"11324","5","9"
"11324","6","9"
"11324","7","9"
"11324","8","9"
"11324","9","9"
"11324","10","9"
"11324","11","9"
"11324","12","9"
"11324","13","9"
"11324","14","9"
"11324","15","9"
"11324","16","9"
"11324","17","9"
"11324","18","9"
"11324","19","9"
"11324","20","9"
"11324","21","9"
"11324","22","9"
"11324","23","9"
"11324","24","9"
"11324","25","9"
"11324","26","9"
"11324","27","9"
"11324","28","9"
"11324","29","9"
"11324","30","9"
"11324","31","9"
"11324","32","9"
"11324","33","9"
"11324","34","9"
"11324","35","9"
"11324","36","9"
"11324","37","9"
"11324","38","9"
"11324","39","9"
"11324","40","9"
"11324","41","9"
"11324","42","9"
"11324","43","9"
"11324","44","9"
"11324","45","9"
"11324","46","9"
"11324","47","9"
"11324","48","9"
"11324","49","9"
"11324","50","9"
"11324","51","9"
"11324","52","9"
"11324","53","9"
"11324","54","9"
"11324","55","9"
"11324","56","9"
"11324","57","9"
"11324","58","9"
"11324","59","9"
"11324","60","9"
"11324","61","9"
"11324","62","9"
"11324","63","9"
"11324","64","9"
"11324","65","9"
"11324","66","9"
"11324","67","9"
"11324","68","9"
"11324","69","9"
"11324","70","9"
"11324","71","9"
"11324","72","9"
"11324","73","9"
"11324","74","9"
"11324","75","9"
"11324","76","9"
"11324","77","9"
"11324","78","9"
"11324","79","9"
"11324","80","9"
"11324","81","9"
"11324","82","9"
"11324","83","9"
"11324","84","9"
"11324","85","9"
"11324","86","9"
"11324","87","9"
"11324","88","9"
"11324","89","9"
"11324","90","9"
"11324","91","9"
"11324","92","9"
"11324","93","9"
"11324","94","9"
"11324","95","9"
"11324","96","9"
"11324","97","9"
"11324","98","9"
"11324","99","9"
"11324","100","9"
"11324","101","9"
"11324","102","9"
"11324","103","9"
"11324","104","9"
"11324","105","9"
"11324","106","9"
"11324","107","9"
"11324","108","9"
"11324","109","9"
"11324","110","9"
"11324","111","9"
"11324","112","9"
"11324","113","9"
"11324","114","9"
"11324","115","9"
"11324","116","9"
"11324","117","9"
"11324","118","9"
"11324","119","9"
"11324","120","9"
"11324","121","9"
"11324","122","9"
"11324","123","9"
"11324","124","9"
"11324","125","9"
"11324","126","9"
"11324","127","9"
"11324","128","9"
"11324","129","9"
"11324","130","9"
"11324","131","9"
"11324","132","9"
"11324","133","9"
"11324","134","9"
"11324","135","9"
"11324","136","9"
"11324","137","9"
"11324","138","9"
"11324","139","9"
"11324","140","9"
"11324","141","9"
"11324","142","9"
"11324","143","9"
"11324","144","9"
"11324","145","9"
"11324","146","9"
"11324","147","9"
"11324","148","9"
"11324","149","9"
"11324","150","9"
"11324","151","9"
"11324","152","9"
"11324","153","9"
"11324","154","9"
"11324","155","9"
"11324","156","9"
"11324","157","9"
"11324","158","9"
"11324","159","9"
"11324","160","9"
"11324","161","9"
"11324","162","9"
"11324","163","9"
"11324","164","9"
"11324","165","9"
"11324","166","9"
"11324","167","9"
"11324","168","9"
"11324","169","9"
"11324","170","9"
"11324","171","9"
"11324","172","9"
"11324","173","9"
"11324","174","9"
"11324","175","9"
"11324","176","9"
"11324","177","9"
"11324","178","9"
"11324","179","9"
"11324","180","9"
"11324","181","9"
"11324","182","9"
"11324","183","9"
"11324","184","9"
"11324","185","9"
"11324","186","9"
"11324","187","9"
"11324","188","9"
"11324","189","9"
"11324","190","9"
"11324","191","9"
"11324","192","9"
"11324","193","9"
"11324","194","9"
"11324","195","9"
"11324","196","9"
"11324","197","9"
"11324","198","9"
"11324","199","9"
"11324","200","9"
"11324","201","9"
"11324","202","9"
"11324","203","9"
"11324","204","9"
"11324","205","9"
"11324","206","9"
"11324","207","9"
"11324","208","9"
"11324","209","9"
"11324","210","9"
"11324","211","9"
"11324","212","9"
"11324","213","9"
"11324","214","9"
"11324","215","9"
"11324","216","9"
"11324","217","9"
"11324","218","9"
"11324","219","9"
"11324","220","9"
"11324","221","9"
"11324","222","9"
"11324","223","9"
"11324","224","9"
"11324","225","9"
"11324","226","9"
"11324","227","9"
"11324","228","9"
"11324","229","9"
"11324","230","9"
"11324","231","9"
"11324","232","9"
"11324","233","9"
"11324","234","9"
"11324","235","9"
"11324","236","9"
"11324","237","9"
"11324","238","9"
"11324","239","9"
"11324","240","9"
"11324","241","9"
"11324","242","9"
"11324","243","9"
"11324","244","9"
"31315","0","1"
"31317","0","1"
"31516","0","1"
"31516","1","2"
"31516","2","3"
"31516","3","7"
