"main.id","hpq_aquaequip.id","aquaequip_line","aquaequiptype","aquaequiptype_o","aquaequiptype_own"
"220455","0","1408949786939","6","","1"
"220456","0","1408949786939","6","","1"
"220456","1","1408949786940","5","","1"
"222808","0","8","6","","1"
"222809","0","1408949786940","6","","1"
"222810","0","15","6","","1"
"222812","0","5","6","","1"
"222813","0","9","6","","1"
"222815","0","7","6","","1"
"222817","0","1408949786929","6","","1"
"222818","0","6","6","","1"
"222819","0","4","6","","1"
"279701","0","10","6","","1"
"279704","0","3","6","","2"
"279707","0","10","6","","1"
"280421","0","18","6","","1"
"280423","0","15","6","","1"
"280435","0","7","6","","1"
"280435","1","8","1","","1"
"280443","0","6","6","","1"
"285300","0","11","6","","1"
"285301","0","16","6","","1"
"285303","0","7","6","","1"
"285305","0","11","1","","1"
"285306","0","1408949786928","1","","1"
"285306","1","1408949786929","6","","1"
"285307","0","6","6","","1"
"285309","0","1408949786937","6","","1"
"285319","0","19","1","","1"
"285319","1","20","6","","1"
"289349","0","33","6","","1"
"289354","0","12","1","","1"
"289354","1","13","6","","1"
"289376","0","4","1","","1"
"326991","0","7","1","","1"
"409556","0","15","6","","1"
"409565","0","9","6","","1"
"409568","0","11","6","","1"
"409586","0","5","6","","1"
"409742","0","11","1","","1"
"409748","0","27","1","","1"
"409749","0","24","1","","1"
"409749","1","25","6","","1"
"409751","0","13","1","","1"
"409754","0","10","1","","1"
"409754","1","11","6","","1"
"409756","0","11","1","","1"
"409756","1","12","6","","1"
"409761","0","1408521350894","1","","1"
"409761","1","1408521350895","6","","1"
"409764","0","8","1","","1"
"409764","1","9","6","","1"
"409767","0","15","1","","1"
"409769","0","1408521350865","1","","1"
"411883","0","6","8","Buno buno","1"
"411885","0","6","6","","1"
"411887","0","6","6","","1"
"411889","0","9","6","","1"
"411890","0","9","6","","1"
"411890","1","10","8","Timing","1"
"411891","0","9","6","","1"
"411893","0","7","6","","1"
"411894","0","5","6","","1"
"411895","0","7","6","","1"
"411896","0","5","6","","1"
"411899","0","15","6","","1"
"422368","0","19","1","","1"
"422368","1","20","6","","1"
"422369","0","16","6","","1"
"422371","0","11","1","","1"
"422371","1","12","6","","1"
"422372","0","13","6","","1"
"422373","0","5","6","","1"
"422376","0","14","6","","1"
"441958","0","11","1","","1"
"441958","1","12","6","","1"
"442091","0","9","6","","1"
"442096","0","11","6","","1"
"443635","0","6","1","","1"
"443638","0","3","1","","2"
"443639","0","10","1","","1"
"444940","0","3","6","","1"
"444948","0","52","1","","1"
"444948","1","53","6","","1"
"458244","0","3","6","","1"
"458246","0","5","6","","1"
"458247","0","3","6","","1"
"458250","0","37","1","","1"
"458280","0","3","6","","1"
"458290","0","7","6","","1"
"462769","0","19","6","","1"
"462776","0","14","6","","1"
"462776","1","15","1","","1"
"462788","0","11","1","","1"
"462790","0","3","6","","1"
"467956","0","9","1","","1"
"467956","1","10","6","","1"
"468126","0","17","6","","1"
"468126","1","18","8","Timing","1"
"468225","0","96","6","","1"
"468230","0","264","6","","1"
"468231","0","6","6","","1"
"468232","0","12","6","","1"
"472819","0","9","6","","1"
"472970","0","15","6","","1"
"473064","0","11","1","","1"
"533332","0","9","1","","1"
"533335","0","12","8","Spear","1"
"533341","0","10","1","","1"
"533349","0","18","1","","1"
"533358","0","13","1","","1"
"533358","1","14","6","","1"
"533382","0","26","1","","1"
"533383","0","42","1","","1"
"533384","0","19","8","Itak","1"
"533385","0","19","6","","1"
"533386","0","15","6","","1"
"533386","1","16","1","","1"
"533387","0","6","1","","1"
